METADATA|Assignment|SourceSystemOwner|SourceSystemId|ActionCode|EffectiveStartDate|EffectiveEndDate|EffectiveSequence|EffectiveLatestChange|WorkTermsAssignmentId(SourceSystemId)|AssignmentName|AssignmentNumber|AssignmentStatusTypeCode|PersonTypeCode|PositionId(SourceSystemId)|BusinessUnitShortCode|LocationCode|JobCode|PrimaryAssignmentFlag
MERGE|Assignment|ALTAHRN01|5509906_EMP_ASG|HIRE|1980/09/01|4712/12/31|1|Y|5509906_EMP_TERM|5509906|5509906|ACTIVE_PROCESS|Employee|131473|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509912_EMP_ASG|HIRE|1985/03/01|4712/12/31|1|Y|5509912_EMP_TERM|5509912|5509912|ACTIVE_PROCESS|Employee|131508|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509942_EMP_ASG|HIRE|1980/04/01|4712/12/31|1|Y|5509942_EMP_TERM|5509942|5509942|ACTIVE_PROCESS|Employee|131509|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509997_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5509997_EMP_TERM|5509997|5509997|ACTIVE_PROCESS|Employee|131510|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510004_EMP_ASG|HIRE|2016/04/11|4712/12/31|1|Y|5510004_EMP_TERM|5510004|5510004|ACTIVE_PROCESS|Employee|131511|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510020_EMP_ASG|HIRE|1974/10/21|4712/12/31|1|Y|5510020_EMP_TERM|5510020|5510020|ACTIVE_PROCESS|Employee|131512|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510023_EMP_ASG|HIRE|1986/07/07|4712/12/31|1|Y|5510023_EMP_TERM|5510023|5510023|ACTIVE_PROCESS|Employee|131513|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510037_EMP_ASG|HIRE|1985/07/01|4712/12/31|1|Y|5510037_EMP_TERM|5510037|5510037|ACTIVE_PROCESS|Employee|131514|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510039_EMP_ASG|HIRE|1984/10/01|4712/12/31|1|Y|5510039_EMP_TERM|5510039|5510039|ACTIVE_PROCESS|Employee|131515|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510044_EMP_ASG|HIRE|1979/06/25|4712/12/31|1|Y|5510044_EMP_TERM|5510044|5510044|ACTIVE_PROCESS|Employee|131516|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510045_EMP_ASG|HIRE|1986/01/01|4712/12/31|1|Y|5510045_EMP_TERM|5510045|5510045|ACTIVE_PROCESS|Employee|131517|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510066_EMP_ASG|HIRE|1985/11/11|4712/12/31|1|Y|5510066_EMP_TERM|5510066|5510066|ACTIVE_PROCESS|Employee|131518|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510067_EMP_ASG|HIRE|1979/07/16|4712/12/31|1|Y|5510067_EMP_TERM|5510067|5510067|ACTIVE_PROCESS|Employee|131519|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510082_EMP_ASG|HIRE|1988/05/03|4712/12/31|1|Y|5510082_EMP_TERM|5510082|5510082|ACTIVE_PROCESS|Employee|131520|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510086_EMP_ASG|HIRE|1974/11/11|4712/12/31|1|Y|5510086_EMP_TERM|5510086|5510086|ACTIVE_PROCESS|Employee|131521|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510094_EMP_ASG|HIRE|2010/11/01|4712/12/31|1|Y|5510094_EMP_TERM|5510094|5510094|ACTIVE_PROCESS|Employee|131522|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510173_EMP_ASG|HIRE|1969/08/18|4712/12/31|1|Y|5510173_EMP_TERM|5510173|5510173|ACTIVE_PROCESS|Employee|131523|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510220_EMP_ASG|HIRE|1979/07/16|4712/12/31|1|Y|5510220_EMP_TERM|5510220|5510220|ACTIVE_PROCESS|Employee|131524|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510227_EMP_ASG|HIRE|1988/02/08|4712/12/31|1|Y|5510227_EMP_TERM|5510227|5510227|ACTIVE_PROCESS|Employee|131525|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510333_EMP_ASG|HIRE|1975/07/01|4712/12/31|1|Y|5510333_EMP_TERM|5510333|5510333|ACTIVE_PROCESS|Employee|131526|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510344_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5510344_EMP_TERM|5510344|5510344|ACTIVE_PROCESS|Employee|131527|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510346_EMP_ASG|HIRE|1979/11/26|4712/12/31|1|Y|5510346_EMP_TERM|5510346|5510346|ACTIVE_PROCESS|Employee|131528|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510368_EMP_ASG|HIRE|2016/04/11|4712/12/31|1|Y|5510368_EMP_TERM|5510368|5510368|ACTIVE_PROCESS|Employee|131529|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510396_EMP_ASG|HIRE|1972/05/30|4712/12/31|1|Y|5510396_EMP_TERM|5510396|5510396|ACTIVE_PROCESS|Employee|131530|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510398_EMP_ASG|HIRE|1989/11/20|4712/12/31|1|Y|5510398_EMP_TERM|5510398|5510398|ACTIVE_PROCESS|Employee|131531|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510401_EMP_ASG|HIRE|1984/10/01|4712/12/31|1|Y|5510401_EMP_TERM|5510401|5510401|ACTIVE_PROCESS|Employee|131532|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510425_EMP_ASG|HIRE|1986/01/27|4712/12/31|1|Y|5510425_EMP_TERM|5510425|5510425|ACTIVE_PROCESS|Employee|131533|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510430_EMP_ASG|HIRE|1980/11/03|4712/12/31|1|Y|5510430_EMP_TERM|5510430|5510430|ACTIVE_PROCESS|Employee|131534|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510436_EMP_ASG|HIRE|2016/04/11|4712/12/31|1|Y|5510436_EMP_TERM|5510436|5510436|ACTIVE_PROCESS|Employee|131535|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510445_EMP_ASG|HIRE|1978/10/01|4712/12/31|1|Y|5510445_EMP_TERM|5510445|5510445|ACTIVE_PROCESS|Employee|131536|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510475_EMP_ASG|HIRE|1989/04/10|4712/12/31|1|Y|5510475_EMP_TERM|5510475|5510475|ACTIVE_PROCESS|Employee|131537|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510526_EMP_ASG|HIRE|1979/07/04|4712/12/31|1|Y|5510526_EMP_TERM|5510526|5510526|ACTIVE_PROCESS|Employee|131538|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5510559_EMP_ASG|HIRE|1989/10/16|4712/12/31|1|Y|5510559_EMP_TERM|5510559|5510559|ACTIVE_PROCESS|Employee|131539|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
